question,optionA,optionB,optionC,optionD,answer,category
ශ්‍රී ලංකාවේ මුළු දිස්ත්‍රික්ක ගණන කීයද?,22,24,25,26,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ පරිපාලන අගනුවර කුමක්ද?,කොළඹ,ශ්‍රී ජයවර්ධනපුර කෝට්ටේ,මහනුවර,ගාල්ල,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ වාණිජ අගනුවර කුමක්ද?,ශ්‍රී ජයවර්ධනපුර කෝට්ටේ,ත්‍රිකුණාමලය,මහනුවර,කොළඹ,D,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාව නිදහස ලැබුවේ කුමන වර්ෂයේද?,1947 පෙබරවාරි 04,1948 පෙබරවාරි 04,1948 මාර්තු 04,1950 ජනවාරි 26,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ජාතික පුෂ්පය කුමක්ද?,නෙළුම්,නිල් මානෙල්,සමන් පිච්ච,වද මල,B,සාමාන්ී දැනුම
ශ්‍රී ලංකාවේ ජාතික වෘක්ෂය කුමක්ද?,පොල් ගස,කුඹුක් ගස,නා ගස,ඇහැළ ගස,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ජාතික පක්ෂියා කවුද?,මොනරා,ගිරවා,වලි කුකුළා,ඇටි කුකුළා,C,සාමාන්ී දැනුම
ශ්‍රී ලංකාවේ ජාතික ක්‍රීඩාව කුමක්ද?,ක්‍රිකට්,එල්ලේ,පාපන්දු,වොලිබෝල්,D,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ උස්ම කන්ද කුමක්ද?,නමුණුකුල,සමනල කන්ද,පිදුරුතලාගල,නකල්ස්,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ දිගම ගඟ කුමක්ද?,කැළණි ගඟ,කළු ගඟ,මහවැලි ගඟ,වලවේ ගඟ,C,සාමාන්‍ය දැනුම
මහවැලි ගඟ මුහුදට වැටෙන්නේ කුමන ප්‍රදේශයකින්ද?,කොළඹ,ත්‍රිකුණාමලය,මන්නාරම,හලාවත,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ විශාලතම දිස්ත්‍රික්කය කුමක්ද?,කුරුණෑගල,අනුරාධපුරය,මොනරාගල,බදුල්ල,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ කුඩාම දිස්ත්‍රික්කය කුමක්ද?,මූලතිව්,ගම්පහ,කොළඹ,ගාල්ල,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ පළාත් කීයක් තිබේද?,7,8,9,10,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ අවසාන රජු කවුද?,කීර්ති ශ්‍රී රාජසිංහ,ශ්‍රී වික්‍රම රාජසිංහ,රාජාධි රාජසිංහ,විජය රාජසිංහ,B,සාමාන්‍ය දැනුම
සිංහල සාහිත්‍යයේ 'මහා ගත්කරු' ලෙස හඳුන්වන්නේ කවුද?,කුමාරතුංග මුණිදාස,මාර්ටින් වික්‍රමසිංහ,ජී.බී. සේනානායක,මහගම සේකර,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ පළමු විධායක ජනාධිපතිවරයා කවුද?,විලියම් ගොපල්ලව,ජේ.ආර්. ජයවර්ධන,ආර්. ප්‍රේමදාස,ඩී.බී. විජේතුංග,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ප්‍රථම අග්‍රාමාත්‍යවරයා කවුද?,එස්.ඩබ්ලිව්.ආර්.ඩී. බණ්ඩාරනායක,ඩී.එස්. සේනානායක,ඩඩ්ලි සේනානායක,සිරිමාවෝ බණ්ඩාරනායක,B,සාමාන්ී දැනුම
ලෝකයේ ප්‍රථම අගමැතිනිය බිහිවූයේ කුමන රටෙන්ද?,ඉන්දියාව,එංගලන්තය,ශ්‍රී ලංකාව,පකිස්ථානය,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ උස්ම දියඇල්ල කුමක්ද?,දියලුම,බඹර කන්ද,දුන්හිඳ,ශාන්ත ක්ලෙයාර්,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ විශාලතම ජලාශය කුමක්ද?,කලා වැව,පරාක්‍රම සමුද්‍රය,සේනානායක සමුද්‍රය,වික්ටෝරියා,C,සාමාන්‍ය දැනුම
විශාලතම උද්භිද උදයානය කුමක්ද?,හග්ගල,සීතාවක,පේරාදෙණිය,මිරිජ්ජවිල,C,සාමාන්‍ය දැනුම
සීගිරිය ඉදිකළේ කුමන රජතුමාද?,ධාතුසේන රජු,කාශ්‍යප රජු,මුගලන් රජු,මහාසෙන් රජු,B,සාමාන්‍ය දැනුම
රුවන්වැලි මහා සෑය ඉදිකළේ කුමන රජතුමාද?,වළගම්බා රජු,දුටුගැමුණු රජු,තිස්ස රජු,මහාසෙන් රජු,B,සාමාන්‍ය දැනුම
දළදා මාලිගාව පිහිටා ඇත්තේ කුමන නගරයේද?,අනුරාධපුරය,පොළොන්නරුව,මහනුවර,කුරුණෑගල,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාව වටා ඇති සාගරය කුමක්ද?,පැසිෆික් සාගරය,අත්ලාන්තික් සාගරය,ඉන්දියන් සාගරය,ආක්ටික් සාගරය,C,සාමාන්‍ය දැනුම
තෙත් කලාපයේ පිහිටි එකම ලෝක උරුම වනාන්තරය?,සිංහරාජය,විල්පත්තුව,යාල,කන්නෙලිය,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ජාතික ගීය රචනා කළේ කවුද?,සුනිල් සාන්ත,ආනන්ද සමරකෝන්,ඩබ්ලිව්.ඩී. අමරදේව,මහගම සේකර,B,සාමාන්‍ය දැනුම
ජාතික කොඩියේ සිටින සිංහයාගෙන් නිරූපණය වන්නේ කුමක්ද?,බුදු දහම,සිංහල ජාතිය සහ නිර්භීතකම,කරුණාව,ශක්තිය,B,සාමාන්‍ය දැනුම
ජාතික කොඩියේ තැඹිලි පාටින් නිරූපණය වන්නේ කවුරුන්ද?,සිංහල ජනතාව,මුස්ලිම් ජනතාව,දමිළ ජනතාව,බර්ගර් ජනතාව,C,සාමාන්‍ය දැනුම
ජාතික කොඩියේ කොළ පාටින් නිරූපණය වන්නේ කවුරුන්ද?,මුස්ලිම් ජනතාව,දමිළ ජනතාව,සිංහල ජනතාව,මැලේ ජනතාව,A,සාමාන්‍ය දැනුම
ශ්‍රී පාද කන්ද පිහිටා ඇත්තේ කුමන දිස්ත්‍රික්කයේද?,නුවරඑළිය,කෑගල්ල,රත්නපුර,බදුල්ල,C,සාමාන්‍ය දැනුම
ලෝක අවසානය (World's End) පිහිටා ඇත්තේ කොහේද?,යාල,විල්පත්තුව,හෝර්ටන් තැන්න,කුමන,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ විශාලතම ජාතික උද්‍යානය කුමක්ද?,යාල,විල්පත්තුව,උඩවලව,ගල් ඔය,B,සාමාන්‍ය දැනුම
වලවේ ගඟ මුහුදට වැටෙන්නේ කුමන නගරයෙන්ද?,මාතර,කොළඹ,අම්බලන්තොට,හම්බන්තොට,C,සාමාන්‍ය දැනුම
දිගින් දෙවන ස්ථානය ගන්නා ගඟ කුමක්ද?,කළු ගඟ,කැළණි ගඟ,මල්වතු ඔය,ජින් ගඟ,C,සාමාන්‍ය දැනුම
ලංකාවේ වර්ෂාපතනය මනින ඒකකය කුමක්ද?,සෙන්ටිමීටර්,මිලිමීටර්,මීටර්,කිලෝමීටර්,B,සාමාන්‍ය දැනුම
'වැව් බැඳි රාජ්‍යය' ලෙස හඳුන්වන්නේ කුමන දිස්ත්‍රික්කයද?,පොළොන්නරුව,කුරුණෑගල,අනුරාධපුරය,හම්බන්තොට,C,සාමාන්‍ය දැනුම
යාපනය සහ ප්‍රධාන භූමිය යා කරන පාර/ස්ථානය?,කටුනායක,අලිමංකඩ,මන්නාරම පාලම,පේදුරුතුඩුව,B,සාමාන්‍ය දැනුම
දකුණු ආසියාවේ උස්ම කුළුණ කුමක්ද?,නෙළුම් කුළුණ,ලක්සල කුළුණ,ටයිම්ස් කුළුණ,ප්‍රාර්ථනා කුළුණ,A,සාමාන්‍ය දැනුම
ලංකාවේ භාවිතා වන සම්මත වේලාව කුමක්ද?,GMT + 5,GMT + 5.30,GMT + 6,GMT + 4.30,B,සාමාන්‍ය දැනුම
පාර්ලිමේන්තු මන්ත්‍රීවරුන් ගණන කීයද?,150,225,196,250,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ජාතික සමනලයා කවුද?,මහ රජ සමනලයා,සී ලංකන් බර්ඩ්වින්ග්,නිල් සමනලයා,කහ සමනලයා,B,සාමාන්‍ය දැනුම
පොසොන් පොහොය දිනය වැදගත් වන්නේ ඇයි?,බුදුන් උපන් නිසා,මිහිඳු හිමි වැඩම කිරීම නිසා,දළදාව වැඩම කිරීම නිසා,සිරිමා බෝධිය වැඩම කිරීම නිසා,B,සාමාන්‍ය දැනුම
දළදා වහන්සේ ලංකාවට වැඩම කරවූයේ කුමන රජ දවස්ද?,දේවානම්පියතිස්ස,මුටසීව,කිත්සිරිමෙවන්,මහාසෙන්,C,සාමාන්‍ය දැනුම
පරාක්‍රම සමුද්‍රය පිහිටා ඇත්තේ කොහේද?,අනුරාධපුරය,කුරුණෑගල,පොළොන්නරුව,දිගාමඩුල්ල,C,සාමාන්‍ය දැනුම
ලංකාවේ ප්‍රථම රාජධානිය කුමක්ද?,පොළොන්නරුව,අනුරාධපුරය,දඹදෙණිය,කෝට්ටේ,B,සාමාන්‍ය දැනුම
පෘතුගීසීන් ලංකාවට පැමිණියේ කුමන වර්ෂයේද?,1505,1602,1796,1815,A,සාමාන්‍ය දැනුම
ලන්දේසීන් ලංකාවට පැමිණියේ කුමන වර්ෂයේද?,1505,1602,1658,1796,B,සාමාන්‍ය දැනුම
ඉංග්‍රීසීන් උඩරට ගිවිසුම අත්සන් කළ වර්ෂය කුමක්ද?,1796,1815,1818,1848,B,සාමාන්‍ය දැනුම
ලංකාවේ මුදල් නිකුත් කිරීමේ බලය ඇත්තේ කාටද?,ලංකා බැංකුව,මහජන බැංකුව,ශ්‍රී ලංකා මහ බැංකුව,භාණ්ඩාගාරය,C,සාමාන්‍ය දැනුම
කුළුබඩු සඳහා ප්‍රසිද්ධ දිස්ත්‍රික්කය කුමක්ද?,මාතලේ,කොළඹ,පුත්තලම,කෑගල්ල,A,සාමාන්‍ය දැනුම
'පුංචි එංගලන්තය' ලෙස හඳුන්වන්නේ කුමන නගරයද?,බණ්ඩාරවෙල,නුවරඑළිය,මහනුවර,ඇල්ල,B,සාමාන්‍ය දැනුම
වැඩිම වර්ෂාපතනයක් ලබන ප්‍රදේශය කුමක්ද?,රත්නපුරය,ගාල්ල,වටවල,දෙණියාය,C,සාමාන්ී දැනුම
ජාතික පුස්තකාලය පිහිටා ඇත්තේ කොහේද?,මහනුවර,නුගේගොඩ,කොළඹ,බත්තරමුල්ල,C,සාමාන්‍ය දැනුම
