question,optionA,optionB,optionC,optionD,answer,category
වැඩිහිටි මිනිස් සිරුරක සාමාන්‍යයෙන් අස්ථි කීයක් තිබේද?,206,210,208,212,A,සාමාන්‍ය දැනුම
මිනිස් සිරුරේ ඇති විශාලතම සහ දිගම අස්ථිය කුමක්ද?,ටිබියාව,ෆීමර් (Femur),හියුමරස්,වැලිස්,B,සාමාන්‍ය දැනුම
මිනිස් සිරුරේ කුඩාම අස්ථිය පිහිටා ඇත්තේ කොහේද?,නාසයේ,ඇසේ,කණේ,ඇඟිල්ලේ,C,සාමාන්‍ය දැනුම
මිනිස් සිරුරේ ඇති කුඩාම අස්ථියේ නම කුමක්ද?,මැලියස්,ඉන්කස්,ෆයිබියුලා,ස්ටේපීස් (Stapes),D,සාමාන්‍ය දැනුම
මිනිස් සිරුරේ ඇති විශාලතම ඉන්ද්‍රිය කුමක්ද?,අක්මාව,සම,පෙනහලු,වකුගඩු,B,සාමාන්‍ය දැනුම
මිනිස් සිරුරේ ඇති විශාලතම අභ්‍යන්තර ඉන්ද්‍රිය (ග්‍රන්ථිය) කුමක්ද?,වකුගඩු,අග්න්‍යාශය,අක්මාව,පෙනහලු,C,සාමාන්‍ය දැනුම
රුධිරය රතු පැහැයක් ගන්වන්නේ කුමන වර්ණකය නිසාද?,ක්ලෝරොෆිල්,හිමොග්ලොබින්,කැරොටින්,මෙලනින්,B,සාමාන්‍ය දැනුම
රතු රුධිරාණු වල සාමාන්‍ය ආයු කාලය දින කීයද?,90,60,120,30,C,සාමාන්‍ය දැනුම
රුධිරය කැටි ගැසීමට අවශ්‍ය වන විටමින් වර්ගය කුමක්ද?,විටමින් A,විටමින් C,විටමින් K,විටමින් D,C,සාමාන්‍ය දැනුම
මිනිස් හදවතේ කුටීර කීයක් තිබේද?,2,3,5,4,D,සාමාන්‍ය දැනුම
හදවතේ සිට සිරුර පුරා රුධිරය බෙදා හරින ප්‍රධාන නාලය කුමක්ද?,මහා ශිරාව,මහා ධමනිය,කේශනාලිකා,පෙනහලු ධමනිය,B,සාමාන්‍ය දැනුම
