question,optionA,optionB,optionC,optionD,answer,category
"පහත අනුක්‍රමයේ ඊළඟ අංකය කුමක්ද: 3, 6, 11, 18, 27, ?",36,38,40,42,B,බුද්ධි ඵලය
"සංකේත ක්‍රමයක 'APPLE' = 50 නම් 'ORANGE' යනු කුමක්ද?",60,65,70,75,A,බුද්ධි ඵලය
"සෘජුකෝණාස්‍රයක දිග 25%කින් වැඩි කළහොත් එකම වර්ගඵලයක් ලබා ගැනීමට පළල කොපමණකින් අඩු කළ යුතුද?",20%,25%,30%,33%,A,බුද්ධි ඵලය
"පහත අකුරු මාලාවේ නොගැලපෙන අකුර: Z, X, T, R, O",Z,X,T,O,D,බුද්ධි ඵලය
"A සිට B දක්වා ධාවනය කරන මෝටර් රථයක් පැයට 60km වේගයෙන් ගොස් පැයට 40km වේගයෙන් ආපසු පැමිණියේය. සාමාන්‍ය වේගය කොපමණද?",48km/h,50km/h,52km/h,55km/h,A,බුද්ධි ඵලය
"පුද්ගලයෙකු උතුරට 10m ක් ගොස් දකුණට 6m ක් ගොස් නැවත නැගෙනහිරට 3m ක් ගියේය. ඔහු ආරම්භක ස්ථානයේ සිට කොපමණ දුරින් සිටීද?",4m,5m,7m,10m,B,බුද්ධි ඵලය
"මිනුම් 3ක් සහිත ත්‍රිකෝණයක පැති 3, 4, 5 නම් එහි වර්ගඵලය කීයද?",6,8,10,12,A,බුද්ධි ඵලය
"සංඛ්‍යා ශ්‍රේණියක වැරදි අංකය සොයන්න: 2, 4, 8, 16, 32, 65",4,16,32,65,D,බුද්ධි ඵලය
"පියෙකුගේ වයස පුතාගේ වයස මෙන් 4 ගුණයකි. වසර 5කට පසු දෙගුණයක් වේ. ඔවුන්ගේ වර්තමාන වයස් කීයද?",40 සහ 10,32 සහ 8,24 සහ 6,20 සහ 5,A,බුද්ධි ඵලය
"කණ්ඩායමක 80%ක් පාපන්දු ක්‍රීඩා කරයි, 50%ක් ක්‍රිකට් ක්‍රීඩා කරයි. දෙකම ක්‍රීඩා කරන අවම ප්‍රතිශතය කීයද?",20%,30%,40%,50%,B,බුද්ධි ඵලය
"පහත මාලාවේ අතුරුදහන් පදය: 2, 3, 5, 8, 13, 21, ?",30,34,35,40,B,බුද්ධි ඵලය
"එක් කාන්තාවක් ඇගේ දියණිය පෙන්වා 'ඇය මගේ එකම සහෝදරයාගේ මවගේ දියණියයි' යැයි පැවසුවාය. ඇය එම කාන්තාවට කවුද?",සහෝදරිය,දියණිය,මව,ඥාති දියණිය,A,බුද්ධි ඵලය
"දෙකේ බලයන්: $2^1=2, 2^2=4, 2^3=8$ නම් $2^6$ යනු කීයද?",16,32,64,128,C,බුද්ධි ඵලය
"ගොඩනැගිල්ලක උස මීටර් 50කි. දිනකට 5m නැගලා රෑට 2m ලිස්සා යන ගෙම්බෙක් මුදුනට යාමට දින කීයද?",15,16,17,20,B,බුද්ධි ඵලය
"පහත අංක වලින් වෙනස් එක සොයන්න: 121, 144, 169, 190",121,144,169,190,D,බුද්ධි ඵලය
"වර්ගඵලය 225ක් වූ වර්ගයක පරිමිතිය කීයද?",40,60,80,100,B,බුද්ධි ඵලය
"සංකේත ක්‍රමයකදී 'CAT' = 3120, 'DOG' = 4157 නම් 'FISH' යනු කුමක්ද?",69198,6918,69197,6917,A,බුද්ධි ඵලය
