question,optionA,optionB,optionC,optionD,answer,category
අනුරාධපුර රාජධානියේ පළමු රජතුමා කවුද?,පණ්ඩුවාසදේව,පණ්ඩුකාභය,දේවානම්පියතිස්ස,දුටුගැමුණු,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවට බුදු දහම රැගෙන ආවේ කුමන රජ දවසේද?,පණ්ඩුකාභය,දේවානම්පියතිස්ස,දුටුගැමුණු,වළගම්බා,B,සාමාන්‍ය දැනුම
දුටුගැමුණු රජතුමා එළාර රජු පරදවා සටන් ජයගත්තේ කුමන ස්ථානයේදීද?,විජිතපුර,අනුරාධපුරය,මහියංගනය,මිහින්තලේ,A,සාමාන්‍ය දැනුම
මහා පරාක්‍රමබාහු රජතුමාවේ ප්‍රසිද්ධ කියමන කුමක්ද?,ලක්දිව එක්සත් කිරීම,අහසින් වැටෙන දිය බිඳක්වත් අපතේ නොයැවීම,වෙහෙර විහාර තැනීම,බුදු සසුන පෝෂණය,B,සාමාන්‍ය දැනුම
දළදා වහන්සේ ලංකාවට වැඩම කරවූ කුමරිය කවුද?,හේමමාලා,අනුලා,සෝමාවතී,විහාරමහාදේවී,A,සාමාන්‍ය දැනුම
පොළොන්නරු රාජධානියේ පළමු රජතුමා කවුද?,පළමුවන විජයබාහු,මහා පරාක්‍රමබාහු,නිශ්ශංකමල්ල,කීර්ති ශ්‍රී රාජසිංහ,A,සාමාන්‍ය දැනුම
දඹදෙණිය රාජධානිය පිහිටුවා ගත්තේ කවුද?,පළමුවන විජයබාහු,දෙවන විජයබාහු,තුන්වන විජයබාහු,හතරවන විජයබාහු,C,සාමාන්‍ය දැනුම
ශ්‍රී ජයවර්ධනපුර කෝට්ටේ රාජධානිය පිහිටුවා ගත්තේ කවුද?,හයවන පරාක්‍රමබාහු,හත්වන බුවනෙකබාහු,ධර්මපාල,සීතාවක රාජසිංහ,A,සාමාන්‍ය දැනුම
කෝට්ටේ යුගයේ විසූ 'ෂඩ් භාෂා පරමේශ්වර' විරුදාවලිය ලැබූ හිමිනම කවුද?,ශ්‍රී රාහුල හිමි,වෙත්තෑවේ හිමි,තොටගමුවේ ශ්‍රී රාහුල හිමි,කැළණියේ හිමි,C,සාමාන්‍ය දැනුම
පෘතුගීසීන් ලංකාවට පැමිණෙන විට කෝට්ටේ පාලකයා වූයේ කවුද?,හත්වන බුවනෙකබාහු,ධර්මපාල,සීතාවක රාජසිංහ,පළමුවන විමලධර්මසූරිය,A,සාමාන්‍ය දැනුම
සීතාවක රාජධානියේ ප්‍රබලතම රජතුමා කවුද?,පළමුවන රාජසිංහ,දෙවන රාජසිංහ,මයාදුන්නේ,ධර්මපාල,A,සාමාන්‍ය දැනුම
උඩරට රාජධානියේ නිර්මාතෘවරයා කවුද?,පළමුවන විමලධර්මසූරිය,දෙවන විමලධර්මසූරිය,නරේන්ද්‍රසිංහ,කීර්ති ශ්‍රී රාජසිංහ,A,සාමාන්‍ය දැනුම
'දොන් ජුවන් ධර්මපාල' රජුගේ විශේෂත්වය කුමක්ද?,පෘතුගීසීන්ට රාජ්‍යය පවරාදීම,බුදුදහම වැළඳගැනීම,යුද්ධ ජයග්‍රහණය,රාජ්‍යය ව්‍යාප්ත කිරීම,A,සාමාන්‍ය දැනුම
ලන්දේසීන් ලංකාවේ මුහුදුබඩ ප්‍රදේශ පාලනය කළ කාලය කුමක්ද?,1658-1796,1505-1658,1796-1815,1815-1948,A,සාමාන්‍ය දැනුම
වැලිවිට සරණංකර හිමියන්ට උපකාර කළ රජතුමා කවුද?,කීර්ති ශ්‍රී රාජසිංහ,පළමුවන රාජසිංහ,නරේන්ද්‍රසිංහ,අධිරාජසිංහ,A,සාමාන්‍ය දැනුම
1815 උඩරට ගිවිසුම අත්සන් කළේ කවුරුන් අතරද?,ඉංග්‍රීසීන් හා උඩරට ප්‍රභූන්,ඉංග්‍රීසීන් හා සීතාවක පාලකයන්,ලන්දේසීන් හා උඩරට ප්‍රභූන්,පෘතුගීසීන් හා උඩරට ප්‍රභූන්,A,සාමාන්‍ය දැනුම
උඩරට ගිවිසුමට සිංහල භාෂාවෙන් අත්සන් කළ නායකයා කවුද?,කැප්පෙටිපොල නිලමේ,මොල්ලිගොඩ නිලමේ,පිළිමතලාව,ඇහැලේපොල,A,සාමාන්‍ය දැනුම
1818 නිදහස් අරගලයේ නායකයා වූයේ කවුද?,කැප්පෙටිපොල නිලමේ,පුරන් අප්පු,ගොන්ගාලේගොඩ බණ්ඩා,මද්දුම බණ්ඩාර,A,සාමාන්‍ය දැනුම
1848 නිදහස් අරගලයේ වීරයන් කවුද?,පුරන් අප්පු හා ගොන්ගාලේගොඩ බණ්ඩා,කැප්පෙටිපොල හා පිළිමතලාව,සූරියමල් හා බණ්ඩාරනායක,කුප්පිකාවල හා අඹගොල්ලේ,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාව බ්‍රිතාන්‍ය කිරීටයේ යටත් විජිතයක් වූයේ කුමන වර්ෂයේද?,1796,1815,1818,1848,B,සාමාන්‍ය දැනුම
ලංකාවේ ප්‍රථම ආණ්ඩුක්‍රම ප්‍රතිසංස්කරණය කුමක්ද?,කෝල්බෲක් කැමරන්,ඩොනමෝර්,සෝල්බරි,ජේ.ආර්. ජයවර්ධන,A,සාමාන්‍ය දැනුම
සර්වජන ඡන්ද බලය ලංකාවට ලැබුණේ කුමන වර්ෂයේදීද?,1931,1947,1948,1972,A,සාමාන්‍ය දැනුම
සර්වජන ඡන්ද බලය ලැබීමට හේතු වූ කොමිසම කුමක්ද?,කෝල්බෲක් කොමිසම,ඩොනමෝර් කොමිසම,සෝල්බරි කොමිසම,කන්නන්ගර කොමිසම,B,සාමාන්‍ය දැනුම
නිදහස් අධ්‍යාපනයේ පියා ලෙස හඳුන්වන්නේ කවුද?,සී.ඩබ්ලිව්.ඩබ්ලිව්. කන්නන්ගර,එස්.ඩබ්ලිව්.ආර්.ඩී. බණ්ඩාරනායක,ඩී.එස්. සේනානායක,ආර්. ප්‍රේමදාස,A,සාමාන්‍ය දැනුම
ලංකාවේ ප්‍රථම පාර්ලිමේන්තු මැතිවරණය පැවැත්වූයේ කවදාද?,1947,1948,1956,1972,A,සාමාන්‍ය දැනුම
1972 ජනරජ ව්‍යවස්ථාවේ නිර්මාතෘවරයා කවුද?,කොල්වින් ආර්. ද සිල්වා,එන්.එම්. පෙරේරා,එස්.ඩබ්ලිව්.ආර්.ඩී. බණ්ඩාරනායක,ජේ.ආර්. ජයවර්ධන,A,සාමාන්‍ය දැනුම
විධායක ජනාධිපති ධූරය හඳුන්වා දුන් ව්‍යවස්ථාව කුමක්ද?,1972 ව්‍යවස්ථාව,1978 ව්‍යවස්ථාව,1947 ව්‍යවස්ථාව,1833 ව්‍යවස්ථාව,B,සාමාන්‍ය දැනුම
කාර්මික විප්ලවය ආරම්භ වූ රට කුමක්ද?,ප්‍රංශය,ඇමරිකාව,එංගලන්තය,ජර්මනිය,C,සාමාන්‍ය දැනුම
පළමු ලෝක යුද්ධය පැවති කාලය?,1914-1918,1939-1945,1789-1799,1950-1953,A,සාමාන්‍ය දැනුම
දෙවන ලෝක යුද්ධය පැවති කාලය?,1914-1918,1939-1945,1950-1960,1970-1980,B,සාමාන්‍ය දැනුම
ප්‍රංශ විප්ලවය සිදුවූ වර්ෂය?,1789,1799,1815,1917,A,සාමාන්‍ය දැනුම
රුසියානු විප්ලවයේ නායකයා කවුද?,ලෙනින්,ස්ටාලින්,මාවෝ සේතුං,හිට්ලර්,A,සාමාන්‍ය දැනුම
ඇමරිකාව සොයාගත් දේශ ගවේෂකයා කවුද?,කොලම්බස්,වස්කෝ ද ගාමා,මැගලන්,ඇමරිගෝ වෙස්පුචි,A,සාමාන්‍ය දැනුම
ඉන්දියාවට මුහුදු මාර්ගය සොයාගත් ගවේෂකයා කවුද?,වස්කෝ ද ගාමා,කොලම්බස්,මැගලන්,කැප්ටන් කුක්,A,සාමාන්‍ය දැනුම
ලොව වටා මුහුදු ගමනක් ගිය පළමු ගවේෂකයා කවුද?,මැගලන්,කොලම්බස්,වස්කෝ ද ගාමා,ඇමරිගෝ වෙස්පුචි,A,සාමාන්‍ය දැනුම
'මහල්ලා සහ මුහුද' ලියූ අර්නස්ට් හෙමිංවේ සහභාගී වූ යුද්ධය?,පළමු ලෝක යුද්ධය,දෙවන ලෝක යුද්ධය,රුසියානු විප්ලවය,ප්‍රංශ විප්ලවය,A,සාමාන්‍ය දැනුම
මෙසපොතේමියානු ශිෂ්ටාචාරය බිහි වූ ගංගා?,යුප්‍රටීස් හා ටයිග්‍රීස්,නයිල්,ඉන්දු,කහ ගඟ,A,සාමාන්‍ය දැනුම
