question,optionA,optionB,optionC,optionD,answer,category
ශ්‍රී ලංකාවේ ජාතික ක්‍රීඩාව කුමක්ද?,වොලිබෝල්,ක්‍රිකට්,පාපන්දු,රග්බි,A,සාමාන්‍ය දැනුම
ඔලිම්පික් ධජයේ ඇති වළලු ගණන කීයද?,3,4,5,6,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාව ක්‍රිකට් ලෝක කුසලානය දිනාගත් වර්ෂය?,1992,1996,1999,2003,B,සාමාන්‍ය දැනුම
1996 ලෝක කුසලානය දිනූ නායකයා?,අර්ජුන රණතුංග,සනත් ජයසූරිය,කුමාර් සංගක්කාර,මහේල ජයවර්ධන,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ පළමු ඔලිම්පික් පදක්කම්ලාභියා?,සුසන්තිකා ජයසිංහ,ඩන්කන් වයිට්,දිනේෂ් ප්‍රියන්ත,සුරේෂ් කුමාර,B,සාමාන්‍ය දැනුම
ඩන්කන් වයිට් දිනූ ඉසව්ව?,මීටර් 100,මීටර් 400,මීටර් 400 කඩුලු,දුර පැනීම,C,සාමාන්‍ය දැනුම
සුසන්තිකා ජයසිංහ ඔලිම්පික් පදක්කම දිනූ වර්ෂය?,1996,2000,2004,2008,B,සාමාන්‍ය දැනුම
ලෝකයේ වේගවත්ම මිනිසා?,උසේන් බෝල්ට්,මයිකල් පෙල්ප්ස්,ඇසෆා පවෙල්,ටයිසන් ගේ,A,සාමාන්‍ය දැනුම
මැරතන් ධාවන තරගයක දුර?,කි.මි 40.195,කි.මි 41.195,කි.මි 42.195,කි.මි 43.195,C,සාමාන්‍ය දැනුම
ක්‍රිකට් කණ්ඩායමකට ක්‍රීඩකයින් කී දෙනෙක් ඇතුළත්ද?,10,11,12,13,B,සාමාන්‍ය දැනුම
දැල්පන්දු කණ්ඩායමකට සිටින ක්‍රීඩිකාවන් ගණන?,5,6,7,8,C,සාමාන්‍ය දැනුම
වොලිබෝල් කණ්ඩායමකට සිටින ක්‍රීඩකයින් ගණන?,5,6,7,8,B,සාමාන්‍ය දැනුම
පාපන්දු කණ්ඩායමකට සිටින ක්‍රීඩකයින් ගණන?,9,10,11,12,C,සාමාන්‍ය දැනුම
රග්බි කණ්ඩායමකට සිටින ක්‍රීඩකයින් ගණන?,11,13,15,18,C,සාමාන්‍ය දැනුම
නූතන ඔලිම්පික් පියා කවුද?,පියර් ද කුබර්තින්,ජෝන් කෙනඩි,ඇල්බට් අයින්ස්ටයින්,තෝමස් බාක්,A,සාමාන්‍ය දැනුම
ICC මූලස්ථානය පිහිටියේ?,ලන්ඩන්,ඩුබායි,සිඩ්නි,කේප්ටවුන්,B,සාමාන්‍ය දැනුම
ලෝකයේ ජනප්‍රියම ක්‍රීඩාව?,ක්‍රිකට්,පාපන්දු,ටෙනිස්,වොලිබෝල්,B,සාමාන්‍ය දැනුම
FIFA ලෝක කුසලානය වසර කීයකට වරක්ද?,2,3,4,5,C,සාමාන්‍ය දැනුම
චෙස් පුවරුවක ඇති කොටු ගණන?,48,56,64,72,C,සාමාන්‍ය දැනුම
