question,optionA,optionB,optionC,optionD,answer,category
"පියෙකුගේ වයස පුතාගේ වයස මෙන් 3 ගුණයකි. ඔවුන්ගේ වයස්වල එකතුව 48ක් නම්, පුතාගේ වයස කීයද?",10,12,14,16,B,බුද්ධි ඵලය
"2, 6, 12, 20, 30, ? ඊළඟ අංකය කුමක්ද?",40,42,44,46,B,බුද්ධි ඵලය
"පහත අනුක්‍රමයෙන් වැරදි අංකය සොයන්න: 1, 4, 9, 16, 26, 36",9,16,26,36,C,බුද්ධි ඵලය
"A යනු B ගේ සහෝදරයාය. C යනු A ගේ මවය. D යනු C ගේ පියාය. D යනු B ට කවුද?",සීයා,පියා,මාමා,සහෝදරයා,A,බුද්ධි ඵලය
"පැයට කි.මී 60ක වේගයෙන් යන දුම්රියක් මීටර් 100ක් දිග පාලමක් තත්පර 9කින් පසු කරයි නම් දුම්රියේ දිග කොපමණද?",50m,75m,100m,150m,A,බුද්ධි ඵලය
"කණ්ඩායමක සිටින සාමාජිකයන් 10 දෙනාම එකිනෙකාට අතට අත දීමක් සිදු කරයි නම් සිදුවන මුළු අතට අත දීම් ගණන කීයද?",45,50,55,90,A,බුද්ධි ඵලය
"පහත මාලාවේ අතුරුදහන් අංකය කුමක්ද: 8, 16, 24, 32, ?",40,42,44,48,A,බුද්ධි ඵලය
"ලීටර් 10ක් අඩංගු භාජනයක 20%ක් කිරි ඇත. තවත් ලීටර් 4ක් කිරි එකතු කළහොත් දැන් භාජනයේ කිරි ප්‍රතිශතය කොපමණද?",30%,40%,50%,60%,C,බුද්ධි ඵලය
"සංකේත ක්‍රමයකදී 'CAT' යනු '3120' නම්, 'DOG' යනු කුමක්ද?",4157,4167,5157,4158,A,බුද්ධි ඵලය
"පොතක් පිටු 200කින් සමන්විතය. ඉන් 1/4ක් කියවා ඇත. තව කොපමණ පිටු ප්‍රමාණයක් කියවීමට ඉතිරිද?",50,100,150,125,C,බුද්ධි ඵලය
"උතුරට 10kmක් ගොස් නැවත වමට හැරී 5kmක් ගියේ නම්, පිටත් වූ තැන සිටි කෙටිම දුර කොපමණද?",11.18km,12km,15km,10km,A,බුද්ධි ඵලය
"පහත අනුක්‍රමය සම්පූර්ණ කරන්න: 1, 1, 2, 3, 5, 8, 13, ?",21,20,19,25,A,බුද්ධි ඵලය
"වර්ගඵලය 64ක් වූ වර්ගයක පරිමිතිය කොපමණද?",16,24,32,64,C,බුද්ධි ඵලය
"පැය 24කට මිනිත්තු කීයක් තිබේද?",1440,1200,1360,1500,A,බුද්ධි ඵලය
"මොනාලිසා පින්තාරු කළේ කවුද? (සංකීර්ණ තර්කනය සඳහා ප්‍රශ්නයක්)",ලියනාඩෝ ඩා වින්චි,පිකාසෝ,වැන් ගෝ,මයිකල් ආන්ජලෝ,A,බුද්ධි ඵලය
"කිසියම් වසරක ජනවාරි 1 වන දා ඉරිදා නම්, එම වසරේ පෙබරවාරි 1 වන දා කුමන දිනකද?",සඳුදා,අඟහරුවාදා,බදාදා,බ්‍රහස්පතින්දා,C,බුද්ධි ඵලය
"100න් 50%ක් අඩු කර ඉන් පසු 50%ක් එකතු කළහොත් ලැබෙන අගය කීයද?",75,100,50,25,A,බුද්ධි ඵලය
"පහත අකුරු මාලාවේ නොගැලපෙන අකුර සොයන්න: A, E, I, O, B",A,E,I,B,D,බුද්ධි ඵලය
"දින 5කට වරක් රෝගියෙකුට බෙහෙත් දිය යුතුය. දින 20ක් තුළ බෙහෙත් වාර කීයක් දිය හැකිද?",3,4,5,6,C,බුද්ධි ඵලය
"ගුවන් යානයක් ධාවන පථයේ නතර වී ඇත. එයට ගමන් කිරීමට අවශ්‍ය අවම උත්පාදක බලය කුමක්ද?",තෙරපුම (Thrust),ගුරුත්වය,ඝර්ෂණය,වායුගතික බලය,A,බුද්ධි ඵලය
