question,optionA,optionB,optionC,optionD,answer,category
" 'වහළවේ මහා ගත්කරු' විරුදාවලි ලබන්නේ කවුද?",මාර්ටින් වික්‍රමසංහ,ඩබ්ලිව්.ඒ. ද සිල්වා,කුමාරතුංග මුනිදාස,මහගම සේකර,A,සාමාන්‍ය දැනුම
" 'මවඩාල් දූව' නවකතාවේ කතුවරයා කවුද?",මාර්ටින් වික්‍රමසංහ,කේ. ජයතිලක,ඩබ්ලිව්.ඒ. ද සිල්වා,පියදාස සිරිසේන,A,සාමාන්‍ය දැනුම
"ශ්‍රී ලංකාවේ ජාතික ගීය රචනා කළේ කවුද?",ආනන්ද සමරකෝන්,පී.බී. අල්විස් පෙරේරා,මහගම සේකර,පියදාස සිරිසේන,A,සාමාන්‍ය දැනුම
"ලෝක ප්‍රකට 'මොනාලිසා' (Mona Lisa) චිත්‍රය ඇඳි ශිල්පියා කවුද?",ලියනාඩෝ ඩා වින්චි,පිකාසෝ,වෑන් ගෝ,මයිකල් ආන්ජලෝ,A,සාමාන්‍ය දැනුම
" 'හැරී පොටර්' (Harry Potter) පොත් මාලාවේ කතුවරිය කවුද?",ජේ.කේ. රෝලින්,එනිඩ් බ්ලයිටන්,ඇගතා ක්‍රිස්ටි,රොහාල්ඩ් දාල්,A,සාමාන්‍ය දැනුම
" 'ෂර්ලොක් හෝම්ස්' (Sherlock Holmes) නිර්මාතෘ කවුද?",ආතර් කොනන් දොයිල්,ඇගතා ක්‍රිස්ටි,එඩ්ගා ඇලන් පෝ,ස්ටීවන් කිං,A,සාමාන්‍ය දැනුම
"ශ්‍රී ලංකාවේ ප්‍රථම කතානාද චිත්‍රපටය කුමක්ද?",කඩවුණු පොරොන්දුව,අශෝකමාලා,රේඛාව,සන්දේශය,A,සාමාන්‍ය දැනුම
"ලෝකයේ දිගම වීර කාව්‍යය ලෙස සැලකෙන්නේ කුමක්ද?",මහා භාරතය,රාමායණය,ඉලියඩ්,ඔඩිසි,A,සාමාන්‍ය දැනුම
" 'රෝමියෝ සහ ජුලියට්' නාට්‍යයේ රචකයා කවුද?",විලියම් ශේක්ස්පියර්,සෝෆොක්ලීස්,යුරිපිඩීස්,බර්නාඩ් ශෝ,A,සාමාන්‍ය දැනුම
" 'මනමේ' නාට්‍යය නිෂ්පාදනය කළේ කවුද?",එදිරිවීර සරච්චන්ද්‍ර,ධම්ම ජාගොඩ,සුගතපාල ද සිල්වා,හෙන්රි ජයසේන,A,සාමාන්‍ය දැනුම
" 'සංහබාහු' නාට්‍යයේ සිංහයා ලෙස රඟපෑ ප්‍රවීණ නළුවා කවුද?",ජයශ්‍රී චන්ද්‍රජිත්,එඩ්මන්ඩ් විජේසූරිය,ගාමිණී ෆොන්සේකා,රවීන්ද්‍ර රන්දෙණිය,A,සාමාන්‍ය දැනුම
"සිංහල සිනමාවේ 'චිත්‍රපට ස්වර්ණමය යුගයේ ස්වර්ණ පුරුෂයා' කවුද?",ගාමිණී ෆොන්සේකා,විජය කුමාරතුංග,ජෝ අබේවික්‍රම,ටෝනි රණසිංහ,A,සාමාන්‍ය දැනුම
"සිංහල සිනමාවේ 'සිනමාවේ රැජින' ලෙස හඳුන්වන්නේ කවුද?",මාලිනී ෆොන්සේකා,ස්වර්ණා මල්ලවආරච්චි,ගීතා කුමාරසිංහ,මල්කාන්ති පීරිස්,A,සාමාන්‍ය දැනුම
"ඉන්දියාවේ ජාතික ගීය රචනා කළේ කවුද?",රබීන්ද්‍රනාත් තාගෝර්,මහත්මා ගාන්ධි,ජවහල්ලාල් නේරු,බන්කිම් චන්ද්‍ර චැටර්ජි,A,සාමාන්‍ය දැනුම
" 'ගම්පෙරළිය', 'කලියුගය', 'යුගාන්තය' ලියූ කතුවරයා කවුද?",මාර්ටින් වික්‍රමසංහ,ඩබ්ලිව්.ඒ. ද සිල්වා,කේ. ජයතිලක,මහගම සේකර,A,සාමාන්‍ය දැනුම
" 'අම්බලම් පිනා' කවිය අයත් වන්නේ කුමන සාහිත්‍ය වර්ගයටද?",ජන කවි,පන්සල් කවි,පැල් කවි,පාරු කවි,A,සාමාන්‍ය දැනුම
"සීගිරි බිතු සිතුවම් අයත් වන්නේ කුමන ඉන්දීය කලා සම්ප්‍රදායට සමානවද?",අජන්තා,ගන්ධාර,මතුරා,අමරාවතී,A,සාමාන්‍ය දැනුම
