question,optionA,optionB,optionC,optionD,answer,category
ලෝකයේ ඇති මහාද්වීප ගණන කීයද?,07,05,06,08,A,සාමාන්‍ය දැනුම
ලෝකයේ විශාලතම මහාද්වීපය කුමක්ද?,ආසියාව,අප්‍රිකාව,යුරෝපය,උතුරු ඇමරිකාව,A,සාමාන්‍ය දැනුම
ලෝකයේ කුඩාම මහාද්වීපය කුමක්ද?,ඕස්ට්‍රේලියාව,යුරෝපය,ඇන්ටාක්ටිකාව,දකුණු ඇමරිකාව,A,සාමාන්‍ය දැනුම
ලෝකයේ විශාලතම සාගරය කුමක්ද?,පැසිෆික් සාගරය,අත්ලාන්තික් සාගරය,ඉන්දියන් සාගරය,ආක්ටික් සාගරය,A,සාමාන්‍ය දැනුම
ලෝකයේ ගැඹුරුම අගාධය (Trench) කුමක්ද?,මරියානා අගාධය,ටොංගා අගාධය,ජාවා අගාධය,පිලිපීන අගාධය,A,සාමාන්‍ය දැනුම
ලෝකයේ ජනගහනය වැඩිම රට කුමක්ද? (2023/24 දත්ත අනුව),ඉන්දියාව,චීනය,ඇමරිකාව,රුසියාව,A,සාමාන්‍ය දැනුම
භූමි ප්‍රමාණය අනුව ලෝකයේ විශාලතම රට කුමක්ද?,රුසියාව,කැනඩාව,චීනය,ඇමරිකාව,A,සාමාන්‍ය දැනුම
ලෝකයේ කුඩාම රට කුමක්ද?,වතිකානු පුරය,මොනැකෝ,නාවුරු,සැන් මරිනෝ,A,සාමාන්‍ය දැනුම
එක්සත් ජාතීන්ගේ සංවිධානය (UN) පිහිටවූ වර්ෂය කුමක්ද?,1945,1939,1950,1948,A,සාමාන්‍ය දැනුම
එක්සත් ජාතීන්ගේ මූලස්ථානය පිහිටා ඇත්තේ කුමන නගරයේද?,නිව්යෝර්ක්,ලන්ඩන්,ජිනීවා,පැරිස්,A,සාමාන්‍ය දැනුම
ඉන්දියාවේ අගනුවර කුමක්ද?,නව දිල්ලි,මුම්බායි,චෙන්නායි,කොල්කටා,A,සාමාන්‍ය දැනුම
ඇමරිකා එක්සත් ජනපදයේ (USA) අගනුවර කුමක්ද?,වොෂින්ටන් ඩී.සී.,නිව්යෝර්ක්,ලොස් ඇන්ජලීස්,චිකාගෝ,A,සාමාන්‍ය දැනුම
එක්සත් රාජධානියේ (UK) අගනුවර කුමක්ද?,ලන්ඩන්,මැන්චෙස්ටර්,බර්මින්හැම්,එඩින්බරෝ,A,සාමාන්‍ය දැනුම
ප්‍රංශයේ අගනුවර කුමක්ද?,පැරිස්,මාසේල්,ලියොන්,ලීල්,A,සාමාන්‍ය දැනුම
ජපානයේ අගනුවර කුමක්ද?,ටෝකියෝ,ඔසාකා,කියෝතෝ,හිරෝෂිමා,A,සාමාන්‍ය දැනුම
