question,optionA,optionB,optionC,optionD,answer,category
ශ්‍රී ලංකාවේ වර්තමාන ආණ්ඩුක්‍රම ව්‍යවස්ථාව හඳුන්වන්නේ කුමක්ද?,1972 ආණ්ඩුක්‍රම ව්‍යවස්ථාව,1978 ආණ්ඩුක්‍රම ව්‍යවස්ථාව,1947 සෝල්බරි ව්‍යවස්ථාව,1987 ආණ්ඩුක්‍රම ව්‍යවස්ථාව,B,සාමාන්‍ය දැනුම
1978 ආණ්ඩුක්‍රම ව්‍යවස්ථාව සම්මත වන විට ශ්‍රී ලංකාවේ අග්‍රාමාත්‍යවරයා කවුද?,ජේ.ආර්. ජයවර්ධන,සිරිමාවෝ බණ්ඩාරනායක,ආර්. ප්‍රේමදාස,ඩඩ්ලි සේනානායක,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකා පාර්ලිමේන්තුවේ සිටින මුළු මන්ත්‍රීවරුන් සංඛ්‍යාව කීයද?,196,225,250,230,B,සාමාන්‍ය දැනුම
පාර්ලිමේන්තු මන්ත්‍රීවරුන් අතුරින් 'ජාතික ලැයිස්තුවෙන්' (National List) පත්වන සංඛ්‍යාව කීයද?,20,29,35,15,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ඡන්දය ප්‍රකාශ කිරීම සඳහා සම්පූර්ණ විය යුතු වයස කීයද?,16,18,21,25,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ නීතිය හදන ආයතනය (ව්‍යවස්ථාදායකය) කුමක්ද?,පාර්ලිමේන්තුව,ශ්‍රේෂ්ඨාධිකරණය,ජනාධිපති ලේකම් කාර්යාලය,ඇමති මණ්ඩලය,A,සාමාන්‍ය දැනුම
ආණ්ඩුක්‍රම ව්‍යවස්ථාව අර්ථ නිරූපණය කිරීමේ බලය ඇත්තේ කුමන අධිකරණයටද?,මහාධිකරණය,අභියාචනාධිකරණය,ශ්‍රේෂ්ඨාධිකරණය,මහේස්ත්‍රාත් අධිකරණය,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ඉහළම අධිකරණය කුමක්ද?,අභියාචනාධිකරණය,ශ්‍රේෂ්ඨාධිකරණය,මහාධිකරණය,දිසා අධිකරණය,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකා පොලීසියේ ප්‍රධානියාගේ තනතුරු නාමය කුමක්ද?,පොලිස් අධිකාරී,ජ්‍යෙෂ්ඨ නියෝජ්‍ය පොලිස්පති,පොලිස්පති,පොලිස් කොමසාරිස්,C,සාමාන්‍ය දැනුම
රජයේ මුදල් පාලනය කිරීමේ (මූල්‍ය) බලය ඇත්තේ කාටද?,ජනාධිපතිට,මුදල් ඇමතිට,මහ බැංකු අධිපතිට,පාර්ලිමේන්තුවට,D,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ පරිපාලන දිස්ත්‍රික්ක ගණන කීයද?,22,24,25,26,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ මැතිවරණ දිස්ත්‍රික්ක ගණන කීයද?,20,22,25,24,B,සාමාන්‍ය දැනුම
පළාත් සභා ක්‍රමය (Provincial Councils) පිහිටුවන ලද්දේ ආණ්ඩුක්‍රම ව්‍යවස්ථාවේ කීවන සංශෝධනයෙන්ද?,10,13,15,17,B,සාමාන්‍ය දැනුම
පළාත් ආණ්ඩුකාරවරයා (Governor) පත් කරන්නේ කවුරුන් විසන්ද?,අග්‍රාමාත්‍ය,පාර්ලිමේන්තුව,ජනාධිපති,අගවිනිසුරු,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ රාජ්‍ය භාෂා මොනවාද?,සිංහල පමණක්,සිංහල සහ ඉංග්‍රීසි,සිංහල සහ දෙමළ,දෙමළ පමණක්,C,සාමාන්‍ය දැනුම
මූලික අයිතිවාසිකම් කඩවීමකදී මූලික අයිතිවාසිකම් පෙත්සමක් ඉදිරිපත් කළ යුත්තේ කුමන අධිකරණයටද?,මහාධිකරණය,අභියාචනාධිකරණය,ශ්‍රේෂ්ඨාධිකරණය,දිසා අධිකරණය,C,සාමාන්‍ය දැනුම
තොරතුරු දැනගැනීමේ පනත (RTI Act) ශ්‍රී ලංකාවේ සම්මත වූ වර්ෂය කුමක්ද?,2014,2015,2016,2017,C,සාමාන්‍ය දැනුම
පාර්ලිමේන්තු රැස්වීම් වාර්තා හඳුන්වන්නේ කුමන නමකින්ද?,ගැසට් පත්‍ර,හැන්සාඩ්,වර්ෂික වාර්තා,පාර්ලිමේන්තු සඟරා,B,සාමාන්‍ය දැනුම
රජයේ අයවැය (Budget) පාර්ලිමේන්තුවට ඉදිරිපත් කරන්නේ කවුද?,ජනාධිපති,අග්‍රාමාත්‍ය,මුදල් අමාත්‍යවරයා,කථානායක,C,සාමාන්‍ය දැනුම
රජයේ ගිණුම් පරීක්ෂා කිරීමේ ප්‍රධානියා (විගණකවරයා) කවුද?,ගණකාධිකාරී ජනරාල්,විගණකාධිපති,භාණ්ඩාගාර ලේකම්,ප්‍රධාන අභ්‍යන්තර විගණක,B,සාමාන්‍ය දැනුම
නීතිපතිවරයා (Attorney General) පත් කරන්නේ කවුරුන් විසන්ද?,අග්‍රාමාත්‍ය,ජනාධිපති,පාර්ලිමේන්තුව,අගවිනිසුරු,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ අග්‍ර විනිශ්චයකාරවරයා පත් කරන්නේ කවුද?,ජනාධිපති,අග්‍රාමාත්‍ය,පාර්ලිමේන්තු කවුන්සිලය,අධිකරණ ඇමති,A,සාමාන්‍ය දැනුම
