question,optionA,optionB,optionC,optionD,answer,category
"1, 3, 5, 7, ? ඊළඟ අංකය කුමක්ද?",8,9,10,11,B,බුද්ධි ඵලය
"2, 4, 8, 16, ? ඊළඟ අංකය කුමක්ද?",24,32,48,64,B,බුද්ධි ඵලය
"පහත මාලාව සම්පූර්ණ කරන්න: A, C, E, G, ?",H,I,J,K,B,බුද්ධි ඵලය
"මොනවාද කෑමට දිය හැක්කේ? යන ප්‍රශ්නයට වඩාත් ගැලපෙන පිළිතුර කුමක්ද?",පෑන,පොත,බත්,ගල,C,බුද්ධි ඵලය
"සූර්යයා දවල්ට දර්ශනය වේ නම්, සඳු කවදාද?",දවල්,සවස,රාත්‍රී,උදෑසන,C,බුද්ධි ඵලය
"පහත අංක මාලාවේ නොගැලපෙන අංකය කුමක්ද: 2, 4, 6, 8, 10, 12, 15",10,12,15,8,C,බුද්ධි ඵලය
"පුතාට පියා කතා කරන්නේ කුමක් ලෙසද?",තාත්තා,පුතා,අයියා,මාමා,B,බුද්ධි ඵලය
"පිරිමි ළමයෙකුට සහෝදරියන් දෙදෙනෙකු සිටී නම්, ඔවුනට සිටින මුළු සහෝදර සහෝදරියන් සංඛ්‍යාව කීයද?",1,2,3,4,C,බුද්ධි ඵලය
"වර්ගඵලය වැඩිම කුමකටද?",ත්රිකෝණය,වර්ගය,වෘත්තය,පංචස්‍රය,C,බුද්ධි ඵලය
"උතුරට ප්‍රතිවිරුද්ධ දිශාව කුමක්ද?",නැගෙනහිර,බටහිර,දකුණ,වයඹ,C,බුද්ධි ඵලය
"අවුරුද්දකට මාස කීයද?",10,11,12,13,C,බුද්ධි ඵලය
"පහත මාලාවේ අතුරුදහන් අංකය සොයන්න: 10, 20, 30, ?, 50",35,40,45,60,B,බුද්ධි ඵලය
"මෝටර් රථයකට රෝද කීයක් තිබේද?",2,3,4,6,C,බුද්ධි ඵලය
"ගසකට නැති දේ කුමක්ද?",මුල්,කොළ,පාද,අතු,C,බුද්ධි ඵලය
"මිනිසෙකුට අත් කීයද?",1,2,3,4,B,බුද්ධි ඵලය
"සතියකට දින කීයද?",5,6,7,8,C,බුද්ධි ඵලය
"මාළුවාට පිහිනීමට උදව් වන්නේ කුමක්ද?",පියාපත්,කකුල්,වරල්,වල්ගය,C,බුද්ධි ඵලය
"කිරි වල වර්ණය කුමක්ද?",කළු,නිල්,සුදු,රතු,C,බුද්ධි ඵලය
"පහත අකුරු මාලාවේ අතුරුදහන් අකුර කුමක්ද: B, D, F, H, ?",I,J,K,L,B,බුද්ධි ඵලය
"ඔරලෝසුවක් මනින්නේ කුමක්ද?",දුර,බර,කාලය,උෂ්ණත්වය,C,බුද්ධි ඵලය
