question,optionA,optionB,optionC,optionD,answer,category
"පිරිමි ළමයෙක් පෙරට වඩා 2 ගුණයක් වේගයෙන් දුවයි. ඔහුට දුවන්නට ගතවන කාලය පෙර මෙන් කොපමණද?",භාගයකි,එකම වේ,දෙගුණයකි,සිවුගුණයකි,A,බුද්ධි ඵලය
"1, 2, 4, 7, 11, ? ඊළඟ අංකය කුමක්ද?",14,15,16,17,C,බුද්ධි ඵලය
"සංකේත ක්‍රමයකදී 'HOUSE' යනු 'IPVTF' නම්, 'SCHOOL' යනු කුමක්ද?",TDIPPM,TIDPPM,TDIPMP,TIDPMP,A,බුද්ධි ඵලය
"පෙට්ටියක රතු පන්දු 5ක් සහ නිල් පන්දු 3ක් ඇත. අහඹු ලෙස එකක් ගත් විට එය නිල් පන්දුවක් වීමේ සම්භාවිතාව කොපමණද?",3/5,3/8,5/8,2/8,B,බුද්ධි ඵලය
"දවසේ උෂ්ණත්වය අංශක 5කින් වැඩි වී, නැවත අංශක 2කින් අඩු වේ. මුළු වෙනස කොපමණද?",+3, -3, +7, -7,A,බුද්ධි ඵලය
"A සිට B දක්වා දුර 10km වේ. B සිට C දක්වා දුර 15km වේ. A සිට C දක්වා අවම දුර කුමක් විය හැකිද?",5km,25km,18km,20km,A,බුද්ධි ඵලය
"පහත අනුක්‍රමයේ වැරදි අංකය සොයන්න: 2, 4, 8, 16, 32, 66",4,16,32,66,D,බුද්ධි ඵලය
"පුද්ගලයෙකු දකුණට 4mක් ගොස්, වමට හැරී 3mක් ගියේය. ඔහු පිටත් වූ තැන සිටි කෙටිම දුර කොපමණද?",5m,7m,6m,8m,A,බුද්ධි ඵලය
"අවුරුදු 30කට පෙර පියෙකුගේ වයස පුතාගේ වයස මෙන් 10 ගුණයක් විය. ඔවුන්ගේ වයස්වල එකතුව 70ක් නම් ඔවුන්ගේ වයස් කීද?",50 සහ 20,60 සහ 10,40 සහ 30,55 සහ 15,B,බුද්ධි ඵලය
"සතියේ දින 7ක් ඇත. දිනයන් 100කට පසු එළඹෙන දිනය කුමක්ද? (අද සඳුදා නම්)",සඳුදා,අඟහරුවාදා,බදාදා,බ්‍රහස්පතින්දා,C,බුද්ධි ඵලය
"පහත අනුක්‍රමය සම්පූර්ණ කරන්න: 2, 3, 5, 7, 11, ?",12,13,14,15,B,බුද්ධි ඵලය
"මිනිත්තු 180ක් යනු පැය කීයක්ද?",2,3,4,3.5,B,බුද්ධි ඵලය
"සංඛ්‍යා 3ක මධ්‍යන්‍යය 10කි. ඉන් දෙකක් 8 සහ 12 නම් තුන්වන සංඛ්‍යාව කීයද?",10,12,8,14,A,බුද්ධි ඵලය
"පහත අකුරු මාලාවේ අතුරුදහන් අකුර කුමක්ද: Z, X, V, T, ?",R,S,Q,P,A,බුද්ධි ඵලය
